"","Brand","Time","Size","Prominence"
"1","Baltimore Ravens",20.5333333333333,0.156513562272026,0.147606094389846
"2","ESPN",2.06666666666667,0.0658693545275787,0.00599748420172736
"3","Gillette",4.06666666666667,0.0181783640710383,0.00217876655332996
"4","Gillette Fusion",4.76666666666667,0.0362477978233187,0.00720906660204417
"5","GMC",29.6666666666667,0.0152244877280136,0.019621863616209
"6","Houston Texans",0.533333333333333,0.038193660783179,0.000811954456113986
"7","New England Patriots",31.2,0.227135266220191,0.298769800473499
"8","NFL",1.9,0.0111569843783842,0.000921371723051223
"9","Nike",0.866666666666667,0.0083864368174264,0.000301008759836574
"10","Pepsi",0.633333333333333,0.00716744842430149,0.00015504825792654
"11","Pittsburgh Steelers",0.4,0.0347804542824074,0.000602154405056489
"12","Vanity Fair Magazine",0.0333333333333333,0.751460262345679,0.000452276940445244
